19/01/2020 - 25/01/2020;0
26/01/2020 - 01/02/2020;0
02/02/2020 - 08/02/2020;0
09/02/2020 - 15/02/2020;0
16/02/2020 - 22/02/2020;0
23/02/2020 - 29/02/2020;0
01/03/2020 - 07/03/2020;1
08/03/2020 - 14/03/2020;2
15/03/2020 - 21/03/2020;27
22/03/2020 - 28/03/2020;56
29/03/2020 - 04/04/2020;172
05/04/2020 - 11/04/2020;495
12/04/2020 - 18/04/2020;875
19/04/2020 - 25/04/2020;1570
26/04/2020 - 02/05/2020;2391
03/05/2020 - 09/05/2020;3151
10/05/2020 - 16/05/2020;3593
17/05/2020 - 23/05/2020;3768
24/05/2020 - 30/05/2020;4010
31/05/2020 - 06/06/2020;4114
07/06/2020 - 13/06/2020;4161
14/06/2020 - 20/06/2020;4188
21/06/2020 - 27/06/2020;3763
28/06/2020 - 04/07/2020;3771
05/07/2020 - 11/07/2020;3844
12/07/2020 - 18/07/2020;4693
19/07/2020 - 25/07/2020;3650
26/07/2020 - 01/08/2020;4319
02/08/2020 - 08/08/2020;4452
09/08/2020 - 15/08/2020;4390
16/08/2020 - 22/08/2020;3856
23/08/2020 - 29/08/2020;3489
30/08/2020 - 05/09/2020;2739
06/09/2020 - 12/09/2020;2285
13/09/2020 - 19/09/2020;1897
20/09/2020 - 26/09/2020;1643
27/09/2020 - 03/10/2020;1273
04/10/2020 - 10/10/2020;1187
11/10/2020 - 17/10/2020;1004
18/10/2020 - 24/10/2020;882
25/10/2020 - 31/10/2020;783
01/11/2020 - 07/11/2020;742
08/11/2020 - 14/11/2020;718
15/11/2020 - 21/11/2020;644
22/11/2020 - 28/11/2020;674
29/11/2020 - 05/12/2020;685
06/12/2020 - 12/12/2020;719
13/12/2020 - 19/12/2020;804
20/12/2020 - 26/12/2020;872
27/12/2020 - 02/01/2021;1025
03/01/2021 - 09/01/2021;1379
10/01/2021 - 16/01/2021;1896
17/01/2021 - 23/01/2021;2759
24/01/2021 - 30/01/2021;3670
31/01/2021 - 06/02/2021;4198
07/02/2021 - 13/02/2021;4666
14/02/2021 - 20/02/2021;4888
21/02/2021 - 27/02/2021;4981
28/02/2021 - 06/03/2021;4605
07/03/2021 - 13/03/2021;4472
14/03/2021 - 20/03/2021;5023
21/03/2021 - 27/03/2021;4367
28/03/2021 - 03/04/2021;5444
04/04/2021 - 10/04/2021;5126
11/04/2021 - 17/04/2021;5959
18/04/2021 - 24/04/2021;5360
25/04/2021 - 01/05/2021;5228
02/05/2021 - 08/05/2021;5127
09/05/2021 - 15/05/2021;4107
16/05/2021 - 22/05/2021;3527
23/05/2021 - 29/05/2021;2823
30/05/2021 - 05/06/2021;3091
06/06/2021 - 12/06/2021;2027
13/06/2021 - 19/06/2021;1833
20/06/2021 - 26/06/2021;1514
27/06/2021 - 03/07/2021;1240
04/07/2021 - 10/07/2021;543
11/07/2021 - 17/07/2021;1817
18/07/2021 - 24/07/2021;748
25/07/2021 - 31/07/2021;558
01/08/2021 - 07/08/2021;520
08/08/2021 - 14/08/2021;467
15/08/2021 - 21/08/2021;478
22/08/2021 - 28/08/2021;297
29/08/2021 - 04/09/2021;332
05/09/2021 - 11/09/2021;281
12/09/2021 - 18/09/2021;248
19/09/2021 - 25/09/2021;252
26/09/2021 - 02/10/2021;229
03/10/2021 - 09/10/2021;184
10/10/2021 - 16/10/2021;175
17/10/2021 - 23/10/2021;203
24/10/2021 - 30/10/2021;198
31/10/2021 - 06/11/2021;192
07/11/2021 - 13/11/2021;196
14/11/2021 - 20/11/2021;228
21/11/2021 - 27/11/2021;238
28/11/2021 - 04/12/2021;289
05/12/2021 - 11/12/2021;373
12/12/2021 - 18/12/2021;421
19/12/2021 - 25/12/2021;334
26/12/2021 - 01/01/2022;253
02/01/2022 - 08/01/2022;278
09/01/2022 - 15/01/2022;357
16/01/2022 - 22/01/2022;765
23/01/2022 - 29/01/2022;971
30/01/2022 - 05/02/2022;1779
06/02/2022 - 12/02/2022;1229
13/02/2022 - 19/02/2022;1178
20/02/2022 - 26/02/2022;1109
27/02/2022 - 05/03/2022;625
06/03/2022 - 12/03/2022;450
13/03/2022 - 19/03/2022;332
20/03/2022 - 26/03/2022;288
27/03/2022 - 02/04/2022;197
03/04/2022 - 09/04/2022;172
10/04/2022 - 16/04/2022;148
17/04/2022 - 23/04/2022;105
24/04/2022 - 29/04/2022;74
